symbol,sector,industry
CNQ,Energy,Oil & Gas E&P
UBS,Financial Services,Banks—Diversified
MCO,Financial Services,Financial Data & Stock Exchanges
ICE,Financial Services,Financial Data & Stock Exchanges
RELX,Industrials,Specialty Business Services
BNS,Financial Services,Banks—Diversified
TGT,Consumer Defensive,Discount Stores
GD,Industrials,Aerospace & Defense
TRI,Industrials,Specialty Business Services
VMW,Technology,Software—Infrastructure
EPD,Energy,Oil & Gas Midstream
CMG,Consumer Cyclical,Restaurants
FDX,Industrials,Integrated Freight & Logistics
SAN,Financial Services,Banks—Diversified
HMC,Consumer Cyclical,Auto Manufacturers
SMFG,Financial Services,Banks—Diversified
ITUB,Financial Services,Banks—Regional
SNOW,Technology,Software—Application
MMM,Industrials,Conglomerates
SCCO,Basic Materials,Copper
F,Consumer Cyclical,Auto Manufacturers
FCX,Basic Materials,Copper
RACE,Consumer Cyclical,Auto Manufacturers
MCK,Healthcare,Medical Distribution
OXY,Energy,Oil & Gas E&P
HSY,Consumer Defensive,Confectioners
PNC,Financial Services,Banks—Regional
STLA,Consumer Cyclical,Auto Manufacturers
EW,Healthcare,Medical Devices
TAK,Healthcare,Drug Manufacturers—Specialty & Generic
ECL,Basic Materials,Specialty Chemicals
PSA,Real Estate,REIT—Industrial
USB,Financial Services,Banks—Regional
GM,Consumer Cyclical,Auto Manufacturers
MPC,Energy,Oil & Gas Refining & Marketing
ANET,Technology,Computer Hardware
BN,Financial Services,Asset Management
NGG,Utilities,Utilities—Regulated Electric
CCI,Real Estate,REIT—Specialty
NSC,Industrials,Railroads
AIG,Financial Services,Insurance—Diversified
ABEV,Consumer Defensive,Beverages—Brewers
GIS,Consumer Defensive,Packaged Foods
EMR,Industrials,Specialty Industrial Machinery
ROP,Technology,Software—Application
PXD,Energy,Oil & Gas E&P
KKR,Financial Services,Asset Management
KVUE,Consumer Defensive,Household & Personal Products
BSBR,Financial Services,Banks—Regional
ING,Financial Services,Banks—Diversified
E,Energy,Oil & Gas Integrated
MSI,Technology,Communication Equipment
APH,Technology,Electronic Components
SRE,Utilities,Utilities—Diversified
PH,Industrials,Specialty Industrial Machinery
PSX,Energy,Oil & Gas Refining & Marketing
KMB,Consumer Defensive,Household & Personal Products
RSG,Industrials,Waste Management
LVS,Consumer Cyclical,Resorts & Casinos
D,Utilities,Utilities—Regulated Electric
WDS,Energy,Oil & Gas E&P
AJG,Financial Services,Insurance Brokers
STZ,Consumer Defensive,Beverages—Wineries & Distilleries
TDG,Industrials,Aerospace & Defense
JCI,Industrials,Building Products & Equipment
AZO,Consumer Cyclical,Specialty Retail
TFC,Financial Services,Banks—Regional
COF,Financial Services,Credit Services
STM,Technology,Semiconductors
TRP,Energy,Oil & Gas Midstream
BBVA,Financial Services,Banks—Diversified
BCE,Communication Services,Telecom Services
HES,Energy,Oil & Gas E&P
MET,Financial Services,Insurance—Life
AFL,Financial Services,Insurance—Life
APO,Financial Services,Asset Management
VLO,Energy,Oil & Gas Refining & Marketing
TRV,Financial Services,Insurance—Property & Casualty
SU,Energy,Oil & Gas Integrated
TEL,Technology,Electronic Components
WELL,Real Estate,REIT—Healthcare Facilities
O,Real Estate,REIT—Retail
CTVA,Basic Materials,Agricultural Inputs
TT,Industrials,Building Products & Equipment
ADM,Consumer Defensive,Farm Products
ET,Energy,Oil & Gas Midstream
CM,Financial Services,Banks—Diversified
SQ,Technology,Software—Infrastructure
DHI,Consumer Cyclical,Residential Construction
ALC,Healthcare,Medical Instruments & Supplies
PUK,Financial Services,Insurance—Life
MFG,Financial Services,Banks—Regional
IQV,Healthcare,Diagnostics & Research
KMI,Energy,Oil & Gas Midstream
MSCI,Financial Services,Financial Data & Stock Exchanges
CNC,Healthcare,Healthcare Plans
CARR,Industrials,Building Products & Equipment
HLN,Healthcare,Drug Manufacturers—Specialty & Generic
HLT,Consumer Cyclical,Lodging
YUM,Consumer Cyclical,Restaurants
LYG,Financial Services,Banks—Regional
DTE,Utilities,Utilities—Regulated Electric
WMB,Energy,Oil & Gas Midstream
BBD,,
SYY,,
DOW,,
NUE,,
SPG,,
ABC,,
CRH,,
SE,,
LHX,,
MFC,,
GWW,,
OTIS,,
NU,,
ROK,,
BK,,
WCN,,
DELL,,
AME,Industrials,Specialty Industrial Machinery
A,Healthcare,Diagnostics & Research
MPLX,Energy,Oil & Gas Midstream
DG,Consumer Defensive,Discount Stores
CVE,Energy,Oil & Gas Integrated
KR,Consumer Defensive,Grocery Stores
LEN,Consumer Cyclical,Residential Construction
NEM,Basic Materials,Gold
PPG,Basic Materials,Specialty Chemicals
AMP,Financial Services,Asset Management
DVN,Energy,Oil & Gas E&P
VICI,Real Estate,REIT—Diversified
ED,Utilities,Utilities—Regulated Electric
FIS,Technology,Information Technology Services
CMI,Industrials,Specialty Industrial Machinery
DD,Basic Materials,Specialty Chemicals
CHT,Communication Services,Telecom Services
NWG,Financial Services,Banks—Diversified
BBDO,Financial Services,Banks—Regional
RMD,Healthcare,Medical Instruments & Supplies
PLTR,Technology,Software—Infrastructure
PRU,Financial Services,Insurance—Life
PEG,Utilities,Utilities—Regulated Electric
BCS,Financial Services,Banks—Diversified
DLR,Real Estate,REIT—Specialty
ORAN,Communication Services,Telecom Services
VEEV,Healthcare,Health Information Services
FERG,Industrials,Industrial Distribution
SLF,Financial Services,Insurance—Diversified
ALL,Financial Services,Insurance—Property & Casualty
NTR,Basic Materials,Agricultural Inputs
HPQ,Technology,Computer Hardware
HAL,Energy,Oil & Gas Equipment & Services
SPOT,Communication Services,Internet Content & Information
DFS,Financial Services,Credit Services
LYB,Basic Materials,Specialty Chemicals
KEYS,Technology,Scientific & Technical Instruments
AWK,Utilities,Utilities—Regulated Water
ZBH,Healthcare,Medical Devices
MTD,Healthcare,Diagnostics & Research
CPNG,Consumer Cyclical,Internet Retail
WEC,Utilities,Utilities—Regulated Electric
DASH,Communication Services,Internet Content & Information
FNV,Basic Materials,Gold
TLK,Communication Services,Telecom Services
GLW,Technology,Electronic Components
TAC,Utilities,Utilities—Independent Power Producers
VMC,Basic Materials,Building Materials
EFX,Industrials,Consulting Services
IT,Technology,Information Technology Services
TU,Communication Services,Telecom Services
URI,Industrials,Rental & Leasing Services
OKE,Energy,Oil & Gas Midstream
FI,Basic Materials,Oil & Gas Pipelines
APTV,Consumer Cyclical,Auto Parts
PWR,Industrials,Engineering & Construction
MLM,Basic Materials,Building Materials
GPN,Industrials,Specialty Business Services
AVB,Real Estate,REIT—Residential
WIT,Technology,Information Technology Services
EIX,Utilities,Utilities—Regulated Electric
ALB,Basic Materials,Specialty Chemicals
WST,Healthcare,Medical Instruments & Supplies
HUBS,Technology,Software—Application
IR,Industrials,Specialty Industrial Machinery
DAL,Industrials,Airlines
AEM,Basic Materials,Gold
EQR,Real Estate,REIT—Residential
YUMC,Consumer Cyclical,Restaurants
STT,Financial Services,Asset Management
CBRE,Real Estate,Real Estate Services
ES,Utilities,Utilities—Regulated Electric
MKC,Consumer Defensive,Packaged Foods
FTV,Technology,Scientific & Technical Instruments
TEF,Communication Services,Telecom Services
RBLX,Communication Services,Electronic Gaming & Multimedia
QSR,Consumer Cyclical,Restaurants
RCL,Consumer Cyclical,Travel Services
PPL,Utilities,Utilities—Regulated Electric
PKX,Basic Materials,Steel
K,Consumer Defensive,Packaged Foods
CHD,Consumer Defensive,Household & Personal Products
RCI,Communication Services,Telecom Services
CMS,Utilities,Utilities—Regulated Electric
HEI,Industrials,Aerospace & Defense
CAH,Healthcare,Medical Distribution
HRL,Consumer Defensive,Packaged Foods
NOK,Technology,Communication Equipment
HIG,Financial Services,Insurance—Diversified
FE,Utilities,Utilities—Regulated Electric
ZTO,Industrials,Integrated Freight & Logistics
ELP,Utilities,Utilities—Diversified
GPC,Consumer Cyclical,Specialty Retail
AEE,Utilities,Utilities—Regulated Electric
WY,Real Estate,REIT—Specialty
GIB,Technology,Information Technology Services
DB,Financial Services,Banks—Regional
MT,Basic Materials,Steel
ETR,Utilities,Utilities—Regulated Electric
EC,Energy,Oil & Gas Integrated
BAX,Healthcare,Medical Instruments & Supplies
NET,Technology,Software—Infrastructure
UMC,Technology,Semiconductors
MTB,Financial Services,Banks—Regional
INVH,Real Estate,REIT—Residential
ARE,Real Estate,REIT—Office
BEKE,Real Estate,Real Estate Services
FTS,Utilities,Utilities—Regulated Electric
RJF,Financial Services,Capital Markets
STE,Healthcare,Medical Devices
HPE,Technology,Communication Equipment
IX,Financial Services,Credit Services
WPM,Basic Materials,Gold
GRMN,Technology,Scientific & Technical Instruments
SQM,Basic Materials,Specialty Chemicals
ROL,Consumer Cyclical,Personal Services
IFF,Basic Materials,Specialty Chemicals
XYL,Industrials,Specialty Industrial Machinery
DOV,Industrials,Specialty Industrial Machinery
DRI,Consumer Cyclical,Restaurants
EXR,Real Estate,REIT—Industrial
LYV,Communication Services,Entertainment
FICO,Technology,Software—Application
SCI,Consumer Cyclical,Personal Services
CLX,Consumer Defensive,Household & Personal Products
LH,Healthcare,Diagnostics & Research
ASX,Technology,Semiconductors
HWM,Industrials,Aerospace & Defense
NVR,Consumer Cyclical,Residential Construction
OMC,Communication Services,Advertising Agencies
CTRA,Energy,Oil & Gas E&P
KOF,Consumer Defensive,Beverages—Non-Alcoholic
MAA,Real Estate,REIT—Residential
TDY,Technology,Scientific & Technical Instruments
PAYC,Technology,Software—Application
CNHI,Industrials,Farm & Heavy Construction Machinery
VTR,Real Estate,REIT—Healthcare Facilities
CNP,Utilities,Utilities—Regulated Electric
LUV,Industrials,Airlines
BRO,Financial Services,Insurance Brokers
PHG,Healthcare,Medical Devices
EBR,Utilities,Utilities—Regulated Electric
BR,Technology,Information Technology Services
MKL,,
TSN,,
WAB,,
FLT,,
PBA,,
RF,,
COO,,
CCL,,
ATO,,
BIP,,
BLDR,,
MOH,,
LW,,
ARES,,
BALL,,
HUBB,,
BBY,,
CAG,,
SJM,,
IRM,Real Estate,REIT—Specialty
PINS,Communication Services,Internet Content & Information
TS,Energy,Oil & Gas Equipment & Services
TYL,Technology,Software—Application
SUI,Real Estate,REIT—Residential
PHM,Consumer Cyclical,Residential Construction
TRGP,Energy,Oil & Gas Midstream
SNAP,Communication Services,Internet Content & Information
CHWY,Consumer Cyclical,Internet Retail
IEX,Industrials,Specialty Industrial Machinery
MGM,Consumer Cyclical,Resorts & Casinos
IPG,Communication Services,Advertising Agencies
MGA,Consumer Cyclical,Auto Parts
GFL,Industrials,Waste Management
RE,Financial Services,Insurance—Reinsurance
IOT,Technology,Software—Infrastructure
WPC,Real Estate,REIT—Diversified
CUK,Consumer Cyclical,Leisure
ESS,Real Estate,REIT—Residential
DGX,Healthcare,Diagnostics & Research
VIV,Communication Services,Telecom Services
WRB,Financial Services,Insurance—Property & Casualty
PNW,Utilities,Utilities—Regulated Electric
AMCR,Consumer Cyclical,Packaging & Containers
KB,Financial Services,Banks—Regional
J,Industrials,Engineering & Construction
AGR,Utilities,Utilities—Regulated Electric
DT,Technology,Software—Application
WAT,Healthcare,Diagnostics & Research
MRO,Energy,Oil & Gas E&P
RS,Basic Materials,Steel
SYF,Financial Services,Credit Services
WLK,Basic Materials,Specialty Chemicals
AER,Industrials,Rental & Leasing Services
SNA,Industrials,Tools & Accessories
TRU,Industrials,Consulting Services
BG,Consumer Defensive,Farm Products
SHG,Financial Services,Banks—Regional
UDR,Real Estate,REIT—Residential
EQT,Energy,Oil & Gas E&P
RVTY,Healthcare,Diagnostics & Research
GGG,Industrials,Specialty Industrial Machinery
GFI,Basic Materials,Gold
CPB,Consumer Defensive,Packaged Foods
U,Technology,Software—Application
CFG,Financial Services,Banks—Regional
BAH,Industrials,Consulting Services
WSO,Industrials,Industrial Distribution
L,Financial Services,Insurance—Property & Casualty
TAP,Consumer Defensive,Beverages—Brewers
AES,Utilities,Utilities—Diversified
FMS,Healthcare,Medical Care Facilities
CF,Basic Materials,Agricultural Inputs
CCJ,Energy,Uranium
AVTR,Basic Materials,Specialty Chemicals
FMC,Basic Materials,Agricultural Inputs
BEN,Financial Services,Asset Management
TME,Communication Services,Internet Content & Information
TXT,Industrials,Aerospace & Defense
SNN,Healthcare,Medical Devices
AVY,Consumer Cyclical,Packaging & Containers
SWK,Industrials,Tools & Accessories
NIO,Consumer Cyclical,Auto Manufacturers
DECK,Consumer Cyclical,Footwear & Accessories
AMH,Real Estate,REIT—Residential
BAM,Financial Services,Asset Management
CE,Basic Materials,Chemicals
JBL,Technology,Electronic Components
KMX,Consumer Cyclical,Auto & Truck Dealerships
PEN,Healthcare,Medical Devices
BILL,Technology,Software—Application
EPAM,Technology,Information Technology Services
H,Consumer Cyclical,Lodging
MMP,Energy,Oil & Gas Midstream
MAS,Industrials,Building Products & Equipment
SUZ,Basic Materials,Paper & Paper Products
ELS,Real Estate,REIT—Residential
CPT,Real Estate,REIT—Residential
KIM,Real Estate,REIT—Retail
TWLO,Communication Services,Internet Content & Information
IHG,,
ACI,,
CSL,,
PKG,,
WPP,,
MOS,,
DKS,,
ACM,,
TOST,,
JHX,,
LDOS,,
PEAK,,
NMR,,
NI,,
BAP,,
TFX,,
GDDY,,
WTRG,Utilities,Utilities—Regulated Water
IP,Consumer Cyclical,Packaging & Containers
PSTG,Technology,Computer Hardware
LSI,Real Estate,REIT—Industrial
BCH,Financial Services,Banks—Regional
UHAL,Industrials,Rental & Leasing Services
CRBG,Financial Services,Asset Management
LII,Industrials,Building Products & Equipment
OC,Industrials,Building Products & Equipment
TPL,Energy,Oil & Gas E&P
BWA,Consumer Cyclical,Auto Parts
CNA,Financial Services,Insurance—Property & Casualty
RPM,Basic Materials,Specialty Chemicals
BIO,Healthcare,Medical Devices
DPZ,Consumer Cyclical,Restaurants
ARMK,Industrials,Specialty Business Services
AOS,Industrials,Specialty Industrial Machinery
PAG,Consumer Cyclical,Auto & Truck Dealerships
REXR,Real Estate,REIT—Industrial
QGEN,Healthcare,Diagnostics & Research
GL,Financial Services,Insurance—Life
FND,Consumer Cyclical,Home Improvement Retail
UI,Technology,Communication Equipment
WES,Energy,Oil & Gas Midstream
AU,Basic Materials,Gold
CRL,Healthcare,Diagnostics & Research
CX,Basic Materials,Building Materials
DAR,Consumer Defensive,Packaged Foods
TTC,Industrials,Tools & Accessories
TPR,Consumer Cyclical,Luxury Goods
COTY,Consumer Defensive,Household & Personal Products
CCK,Consumer Cyclical,Packaging & Containers
RBA,Industrials,Specialty Business Services
CUBE,Real Estate,REIT—Industrial
KEY,Financial Services,Banks—Regional
ALLE,Industrials,Security & Protection Services
AFG,Financial Services,Insurance—Property & Casualty
NLY,Real Estate,REIT—Mortgage
VIPS,Consumer Cyclical,Internet Retail
PNR,Industrials,Specialty Industrial Machinery
JNPR,Technology,Communication Equipment
AEG,Financial Services,Insurance—Diversified
CDAY,Technology,Software—Application
BBWI,Consumer Cyclical,Specialty Retail
MTN,Consumer Cyclical,Resorts & Casinos
USFD,Consumer Defensive,Food Distribution
FNF,Financial Services,Insurance—Specialty
RRX,Industrials,Specialty Industrial Machinery
RGA,Financial Services,Insurance—Reinsurance
EMN,Basic Materials,Specialty Chemicals
ONON,Consumer Cyclical,Footwear & Accessories
PATH,Technology,Software—Infrastructure
UHS,Healthcare,Medical Care Facilities
KEP,Utilities,Utilities—Regulated Electric
EQH,Financial Services,Insurance—Diversified
RDY,Healthcare,Drug Manufacturers—Specialty & Generic
IDA,Utilities,Utilities—Regulated Electric
BURL,Consumer Cyclical,Apparel Retail
VST,Utilities,Utilities—Independent Power Producers
OVV,Energy,Oil & Gas E&P
AGCO,Industrials,Farm & Heavy Construction Machinery
TFII,Industrials,Trucking
PCOR,Technology,Software—Application
GGB,Basic Materials,Steel
PAC,Industrials,Airports & Air Services
UNM,Financial Services,Insurance—Life
KNX,Industrials,Trucking
INSP,Healthcare,Medical Devices
BSAC,Financial Services,Banks—Regional
DVA,Healthcare,Medical Care Facilities
DINO,Energy,Oil & Gas Refining & Marketing
BKI,Technology,Software—Application
BEP,Utilities,Utilities—Renewable
SNX,Technology,Electronics & Computer Distribution
OGE,Utilities,Utilities—Regulated Electric
SSL,Basic Materials,Specialty Chemicals
MTZ,Industrials,Engineering & Construction
DCP,Energy,Oil & Gas Midstream
KBR,Industrials,Engineering & Construction
PFGC,Consumer Defensive,Food Distribution
AGL,Healthcare,Medical Care Facilities
HII,Industrials,Aerospace & Defense
WMS,Industrials,Building Products & Equipment
CLH,Industrials,Waste Management
ASR,Industrials,Airports & Air Services
BXP,Real Estate,REIT—Office
ALLY,Financial Services,Credit Services
RNR,Financial Services,Insurance—Reinsurance
SKM,Communication Services,Telecom Services
SKX,Consumer Cyclical,Footwear & Accessories
FBIN,,
BJ,,
TX,,
EME,,
KNSL,,
WSM,,
CLF,,
TOL,,
TEVA,,
LEA,,
GPK,,
COLD,,
VRT,,
CHE,,
DLB,,
WCC,,
NRG,,
NYCB,,
NNN,,
NVT,Industrials,Electrical Equipment & Parts
RHI,Industrials,Staffing & Employment Services
FRT,Real Estate,REIT—Retail
WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
RL,Consumer Cyclical,Apparel Manufacturing
WEX,Technology,Software—Infrastructure
STVN,Healthcare,Medical Instruments & Supplies
XPEV,Consumer Cyclical,Auto Manufacturers
SBS,Utilities,Utilities—Regulated Water
ARW,Technology,Electronics & Computer Distribution
GLOB,Technology,Information Technology Services
EGP,Real Estate,REIT—Industrial
WRK,Consumer Cyclical,Packaging & Containers
ALV,Consumer Cyclical,Auto Parts
ATR,Healthcare,Medical Instruments & Supplies
HR,Real Estate,REIT—Healthcare Facilities
BERY,Consumer Cyclical,Packaging & Containers
VFC,Consumer Cyclical,Apparel Manufacturing
THC,Healthcare,Medical Care Facilities
ORI,Financial Services,Insurance—Diversified
JEF,Financial Services,Capital Markets
IVZ,Financial Services,Asset Management
PSO,Communication Services,Publishing
WWE,Communication Services,Entertainment
OHI,Real Estate,REIT—Healthcare Facilities
DCI,Industrials,Specialty Industrial Machinery
BLD,Industrials,Engineering & Construction
JLL,Real Estate,Real Estate Services
TIMB,Communication Services,Telecom Services
NCLH,Consumer Cyclical,Travel Services
CACI,Technology,Information Technology Services
GXO,Industrials,Integrated Freight & Logistics
YMM,Technology,Software—Application
GNRC,Industrials,Specialty Industrial Machinery
EDU,Consumer Defensive,Education & Training Services
ICL,Basic Materials,Agricultural Inputs
ITT,Industrials,Specialty Industrial Machinery
CFR,Financial Services,Banks—Regional
INGR,Consumer Defensive,Packaged Foods
VOYA,Financial Services,Financial Conglomerates
PRI,Financial Services,Insurance—Life
LAD,Consumer Cyclical,Auto & Truck Dealerships
CTLT,Healthcare,Drug Manufacturers—Specialty & Generic
AXTA,Basic Materials,Specialty Chemicals
BYD,Consumer Cyclical,Resorts & Casinos
AMC,Communication Services,Entertainment
CIB,Financial Services,Banks—Regional
GME,Consumer Cyclical,Specialty Retail
G,Technology,Information Technology Services
WF,Financial Services,Banks—Regional
RRC,Energy,Oil & Gas E&P
ESTC,Technology,Software—Application
FR,Real Estate,REIT—Industrial
STN,Industrials,Engineering & Construction
WBS,Financial Services,Banks—Regional
CSAN,Energy,Oil & Gas Refining & Marketing
ST,Technology,Scientific & Technical Instruments
GOL,Industrials,Airlines
SITE,Industrials,Industrial Distribution
CW,Industrials,Aerospace & Defense
OLN,Basic Materials,Specialty Chemicals
PII,Consumer Cyclical,Recreational Vehicles
AIZ,Financial Services,Insurance—Specialty
CAE,Industrials,Aerospace & Defense
WOLF,Technology,Semiconductors
FTI,Energy,Oil & Gas Equipment & Services
EDR,Communication Services,Entertainment
FCN,Industrials,Consulting Services
TPX,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AN,Consumer Cyclical,Auto & Truck Dealerships
BLCO,Healthcare,Medical Instruments & Supplies
STAG,Real Estate,REIT—Industrial
BRX,Real Estate,REIT—Retail
VVV,Energy,Oil & Gas Refining & Marketing
TNET,Industrials,Staffing & Employment Services
WFG,Basic Materials,Lumber & Wood Production
HLI,Financial Services,Capital Markets
FHN,Financial Services,Banks—Regional
EHC,Healthcare,Medical Care Facilities
AR,Energy,Oil & Gas E&P
TREX,Industrials,Building Products & Equipment
AA,Basic Materials,Aluminum
SF,Financial Services,Capital Markets
ALK,Industrials,Airlines
MUSA,Consumer Cyclical,Specialty Retail
WH,,
HXL,,
CIEN,,
SON,,
UGI,,
RBC,,
DOCS,,
IGT,,
NOV,,
MHK,,
NYT,,
MTDR,,
MSA,,
DDS,,
BEPC,,
CHH,,
DV,,
KT,,
EXP,,
MUR,Energy,Oil & Gas E&P
TKR,Industrials,Tools & Accessories
BC,Consumer Cyclical,Recreational Vehicles
KGC,Basic Materials,Gold
RLI,Financial Services,Insurance—Property & Casualty
BWXT,Industrials,Aerospace & Defense
ADC,Real Estate,REIT—Retail
STWD,Real Estate,REIT—Mortgage
AQN,Utilities,Utilities—Renewable
PVH,Consumer Cyclical,Apparel Manufacturing
VMI,Industrials,Conglomerates
GWRE,Technology,Software—Application
RH,Consumer Cyclical,Specialty Retail
FAF,Financial Services,Insurance—Specialty
WTS,Industrials,Specialty Industrial Machinery
SWN,Energy,Oil & Gas E&P
PNM,Utilities,Utilities—Regulated Electric
APG,Industrials,Engineering & Construction
W,Consumer Cyclical,Internet Retail
PLNT,Consumer Cyclical,Leisure
SAIC,Technology,Information Technology Services
CIVI,Energy,Oil & Gas E&P
SRC,Real Estate,REIT—Diversified
LEVI,Consumer Cyclical,Apparel Manufacturing
FIX,Industrials,Engineering & Construction
UNVR,Basic Materials,Chemicals
PAAS,Basic Materials,Gold
XPO,Industrials,Trucking
ADT,Industrials,Security & Protection Services
NEP,Utilities,Utilities—Renewable
GMED,Healthcare,Medical Devices
FSK,Financial Services,Asset Management
SEE,Consumer Cyclical,Packaging & Containers
ELF,Consumer Defensive,Household & Personal Products
CIG,Utilities,Utilities—Diversified
PB,Financial Services,Banks—Regional
CLVT,Technology,Information Technology Services
CMA,Financial Services,Banks—Regional
DXC,Technology,Information Technology Services
GTLS,Industrials,Specialty Industrial Machinery
SSD,Basic Materials,Lumber & Wood Production
MPW,Real Estate,REIT—Healthcare Facilities
AIRC,Real Estate,REIT—Residential
CMC,Basic Materials,Steel
ATKR,Industrials,Electrical Equipment & Parts
OSK,Industrials,Farm & Heavy Construction Machinery
MNSO,Consumer Cyclical,Specialty Retail
COHR,Technology,Scientific & Technical Instruments
NE,Energy,Oil & Gas Drilling
ONTO,Technology,Semiconductor Equipment & Materials
PBF,Energy,Oil & Gas Refining & Marketing
MSM,Industrials,Industrial Distribution
FLO,Consumer Defensive,Packaged Foods
WK,Technology,Software—Application
ORCC,Financial Services,Credit Services
AMG,Financial Services,Asset Management
BIPC,Utilities,Utilities—Regulated Gas
GIL,Consumer Cyclical,Apparel Manufacturing
BFAM,Consumer Cyclical,Personal Services
RHP,Real Estate,REIT—Hotel & Motel
AIT,Industrials,Industrial Distribution
NVST,Healthcare,Medical Instruments & Supplies
AM,Energy,Oil & Gas Midstream
OMF,Financial Services,Credit Services
HGV,Consumer Cyclical,Resorts & Casinos
SLGN,Consumer Cyclical,Packaging & Containers
SMAR,Technology,Software—Application
POST,Consumer Defensive,Packaged Foods
